代码	名称	发行总额(亿元)	期限(年)	发行价格	票面利率(发行参考利率)(%)	息票品种	附息利率类型	付息频率	发行日期	起息日期	到期日期	剩余年限(年)	债券信用评级	债券评级类型	债券评级机构	债券评级日期	主体信用评级	主体评级类型	主体评级机构	主体评级日期	担保人	担保方式	是否跨市场	GICS一级行业	GICS二级行业	GICS三级行业	GICS四级行业	发行公告日期	上市公告日期	上市日期	承销方式	发行费率	发行人	发行人类型	交易市场	交易状态	债券类型	省份	城市
031490320.IB	14新海连PPN001	4	3	100	7.6	附息	固定利率	1年1次	2014/4/29	2014/4/30	2017/4/30	1.5397					AA	长期信用评级	大公国际资信评估有限公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/5/4			余额包销		江苏新海连发展集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	江苏省	连云港市
031490323.IB	14湘高速PPN005	14	3	100	7.2	附息	固定利率	1年1次	2014/4/29	2014/4/30	2017/4/30	1.5397					AAA	长期信用评级	联合资信评估有限公司	2015/7/28			FALSE	工业	运输	交通基础设施	公路与铁路	2014/5/4			余额包销		湖南省高速公路建设开发总公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	湖南省	长沙市
1180100.IB	11清河投资债	7	6	100	6.79	附息	固定利率	1年1次	2011/4/26	2011/4/29	2017/4/29	1.537	AA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/29	AA	长期信用评级	鹏元资信评估有限公司	2015/6/30		抵押担保	FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2011/4/25	2011/5/3	2011/5/4	余额包销		淮安清河新区投资发展有限公司	地方国有企业	银行间债券市场	上市	一般企业债	江苏省	淮安市
125282.SH	13恒瑞02	1.5	3	100	9.5	附息	固定利率	1年1次	2014/4/29	2014/4/29	2017/4/29	1.537					AA-	长期信用评级	上海新世纪资信评估投资服务有限公司	2014/10/22	江苏大丰海港控股集团有限公司	不可撤销连带责任担保	FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/5/26	2014/5/26	2014/5/27	代销		江苏恒瑞投资开发有限公司	地方国有企业	上海证券交易所	上市	私募债	江苏省	大丰市
031490292.IB	14皖投集PPN002	12	3	100	7.5	附息	固定利率	1年1次	2014/4/24	2014/4/28	2017/4/28	1.5342					AA	长期信用评级	大公国际资信评估有限公司	2015/7/23			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/4/25		2014/4/28	余额包销		安徽省投资集团控股有限公司	地方国有企业	银行间债券市场	上市	定向工具	安徽省	合肥市
101465005.IB	14中盟MTN001	3.9	3	100	8.5	附息	固定利率	1年1次	2014/4/25	2014/4/28	2017/4/28	1.5342	AA-	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30	AA-	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/4/18	2014/4/28	2014/4/29	余额包销		黑龙江中盟集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	黑龙江省	哈尔滨市
1282128.IB	12渝建工MTN2	7	5	100	6.01	附息	固定利率	1年1次	2012/4/26	2012/4/27	2017/4/27	1.5315	AA	长期信用评级	大公国际资信评估有限公司	2015/7/24	AA	长期信用评级	大公国际资信评估有限公司	2015/7/24			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2012/4/23	2012/4/27	2012/4/28	余额包销		重庆建工集团股份有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	重庆	重庆市
1282129.IB	12锡公用MTN1	10	5	100	5.5	附息	固定利率	1年1次	2012/4/26	2012/4/27	2017/4/27	1.5315	AAA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/5	AAA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/5			FALSE	公用事业	公用事业Ⅱ	复合型公用事业Ⅲ	复合型公用事业	2012/4/19	2012/4/27	2012/4/28	余额包销		无锡市市政公用产业集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	江苏省	无锡市
1282122.IB	12南京港MTN1	4	5	100	6.01	附息	固定利率	1年1次	2012/4/24	2012/4/26	2017/4/26	1.5288	AA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/5/14	AA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/4			FALSE	工业	运输	交通基础设施	海港与服务	2012/4/17	2012/4/26	2012/4/27	余额包销		南京港(集团)有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	江苏省	南京市
1282115.IB	12青国投MTN1	25	5	100	5.15	附息	固定利率	1年1次	2012/4/23	2012/4/25	2017/4/25	1.526	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2012/4/16	2012/4/25	2012/4/26	余额包销		青海省国有资产投资管理有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	青海省	西宁市
031490294.IB	14云投PPN002	5	3	100	7.5	附息	固定利率	1年1次	2014/4/24	2014/4/25	2017/4/25	1.526					AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/24			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/5/7			余额包销		云南省投资控股集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	云南省	昆明市
031490296.IB	14泰达投资PPN004	10	3	100	7.5	附息	固定利率	1年1次	2014/4/24	2014/4/25	2017/4/25	1.526					AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/5/7			余额包销		天津泰达投资控股有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	天津	天津市
031490301.IB	14冀交投PPN001	20	3	100	7.2	附息	固定利率	1年1次	2014/4/24	2014/4/25	2017/4/25	1.526											FALSE	工业	运输	交通基础设施	公路与铁路	2014/4/29			余额包销		河北交通投资集团公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	河北省	石家庄市
031490291.IB	14北部湾PPN001	5	3	100	7.3	附息	固定利率	1年1次	2014/4/23	2014/4/24	2017/4/24	1.5233					AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/30			FALSE	工业	运输	交通基础设施	海港与服务	2014/4/25			余额包销		广西北部湾国际港务集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	广西壮族自治区	南宁市
031490295.IB	14渝建投PPN001	10	3	100	8.2	附息	固定利率	1年1次	2014/4/22	2014/4/24	2017/4/24	1.5233					AA	长期信用评级	大公国际资信评估有限公司	2015/7/24			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/4/25			余额包销		重庆建工集团股份有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	重庆	重庆市
031490299.IB	14江阴公PPN002	5	3	100	7.98	附息	固定利率	1年1次	2014/4/23	2014/4/24	2017/4/24	1.5233					AA	长期信用评级	联合资信评估有限公司	2015/7/29			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/4/25			余额包销		江阴市公有资产经营有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	江苏省	江阴市
031568010.IB	15津住宅PPN003	5	2	100	6.3	附息	固定利率	1年1次	2015/4/23	2015/4/24	2017/4/24	1.5233					AA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/29			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2015/4/28			余额包销		天津住宅建设发展集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	天津	天津市
081571001.IB	15江阴城投ABN001A	5	2	100	6.1	附息	固定利率	1年1次	2015/4/23	2015/4/24	2017/4/24	1.5233					AA+	长期信用评级	联合资信评估有限公司	2015/6/25			FALSE	金融	房地产	房地产管理与开发	房地产开发	2015/4/28			余额包销		江阴城市建设投资有限公司	地方国有企业	等待银行间或交易所上市	待上市	交易商协会ABN	江苏省	江阴市
125273.SH	13鼎兴02	1.5	3	100	10	附息	累进利率	1年1次	2014/4/21	2014/4/21	2017/4/21	1.5151	AA	长期信用评级	联合信用评级有限公司	2014/5/30	A-	长期信用评级	联合信用评级有限公司	2014/5/30	扬州市广陵新城投资发展有限公司	不可撤销连带责任担保	FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/5/30	2014/5/30	2014/6/3	代销		扬州鼎兴开发建设有限公司	地方国有企业	上海证券交易所	上市	私募债	江苏省	扬州市
031478003.IB	14津城建PPN003	35	3	100	7.1	附息	固定利率	1年1次	2014/4/18	2014/4/21	2017/4/21	1.5151					AAA	长期信用评级	联合资信评估有限公司	2015/6/29			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/4/23			余额包销		天津城市基础设施建设投资集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	天津	天津市
1282108.IB	12豫投资MTN1	15	5	100	5.56	附息	固定利率	1年1次	2012/4/17	2012/4/19	2017/4/19	1.5096	AAA	长期信用评级	联合资信评估有限公司	2015/6/26	AAA	长期信用评级	联合资信评估有限公司	2015/6/26			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2012/4/10	2012/4/19	2012/4/20	余额包销		河南投资集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	河南省	郑州市
1282109.IB	12粤海控MTN1	15	5	100	4.93	附息	固定利率	1年1次	2012/4/17	2012/4/19	2017/4/19	1.5096	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2012/4/12	2012/4/19	2012/4/20	余额包销		广东粤海控股集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	广东省	广州市
125266.SH	14天源02	1	3	100	11	附息	累进利率	1年1次	2014/4/18	2014/4/18	2017/4/18	1.5068	AA	长期信用评级	大公国际资信评估有限公司	2014/6/5	A	长期信用评级	大公国际资信评估有限公司	2014/5/29	淮安市水利资产经营有限公司	不可撤销连带责任担保	FALSE	公用事业	公用事业Ⅱ	水务Ⅲ	水务	2014/6/5	2014/6/5	2014/6/6	余额包销		盱眙县天源水务有限公司	地方国有企业	上海证券交易所	上市	私募债	江苏省	淮安市
031490139.IB	14汉城投PPN001	20	3	100	8	附息	固定利率	1年1次	2014/4/16	2014/4/18	2017/4/18	1.5068					AAA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/21			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/5/7			余额包销		武汉市城市建设投资开发集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	湖北省	武汉市
031490249.IB	14云投PPN001	10	3	100	7.5	附息	固定利率	1年1次	2014/4/17	2014/4/18	2017/4/18	1.5068					AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/24			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/5/7			余额包销		云南省投资控股集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	云南省	昆明市
031490268.IB	14太仓水PPN001	5	3	100	8.2	附息	固定利率	1年1次	2014/4/17	2014/4/18	2017/4/18	1.5068					AA-	长期信用评级	联合资信评估有限公司	2014/6/20			FALSE	公用事业	公用事业Ⅱ	水务Ⅲ	水务	2014/4/22			余额包销		太仓市水处理有限责任公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	江苏省	太仓市
031490273.IB	14锡新区PPN003	5	3	100	7.5	附息	固定利率	1年1次	2014/4/17	2014/4/18	2017/4/18	1.5068					AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	房地产	房地产管理与开发	房地产开发	2014/4/21			余额包销		无锡市新区发展集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	江苏省	无锡市
031490275.IB	14新港PPN001	10	3	100	8	附息	固定利率	1年1次	2014/4/17	2014/4/18	2017/4/18	1.5068					AA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/8/19			FALSE	工业	运输	海运Ⅲ	海运	2014/4/21			余额包销		武汉新港建设投资开发集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	湖北省	武汉市
101459014.IB	14萧国资MTN001	5	3	100	6.09	附息	固定利率	1年1次	2014/4/15	2014/4/17	2017/4/17	1.5041	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/30	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/30			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/4/10	2014/4/17	2014/4/18	余额包销		杭州市萧山区国有资产经营总公司	地方国有企业	银行间债券市场	上市	一般中期票据	浙江省	杭州市
1282105.IB	12穗地铁MTN1	20	5	100	4.92	附息	固定利率	1年1次	2012/4/13	2012/4/16	2017/4/16	1.5014	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/31	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/31			FALSE	工业	运输	交通基础设施	公路与铁路	2012/4/10	2012/4/16	2012/4/17	余额包销		广州地铁集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	广东省	广州市
031490248.IB	14闽建工PPN001	2	3	100	8.3	附息	固定利率	1年1次	2014/4/15	2014/4/16	2017/4/16	1.5014					AA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/22			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/4/17			余额包销		福建建工集团总公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	福建省	福州市
1180083.IB	11汉江水电债	6	6	100	6.65	附息	累进利率	1年1次	2011/4/15	2011/4/15	2017/4/15	1.4986	AA+	长期信用评级	联合资信评估有限公司	2015/7/27	AA	长期信用评级	联合资信评估有限公司	2015/7/27		质押担保	FALSE	公用事业	公用事业Ⅱ	电力Ⅲ	电力	2011/4/14	2011/5/12	2011/5/13	余额包销		汉江水利水电(集团)有限责任公司	地方国有企业	银行间债券市场	上市	一般企业债	湖北省	丹江口市
101472003.IB	14宁技发MTN002	5	3	100	6.9	附息	固定利率	1年1次	2014/4/11	2014/4/15	2017/4/15	1.4986	AA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/29	AA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/29			FALSE	公用事业	公用事业Ⅱ	水务Ⅲ	水务	2014/4/8	2014/4/15	2014/4/16	余额包销		宁波经济技术开发区控股有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	浙江省	宁波市
125267.SH	13临海建	1.33	3	100	10.5	附息	固定利率	1年1次	2014/4/15	2014/4/15	2017/4/15	1.4986									启东市城市建设投资开发总公司	不可撤销连带责任担保	FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/7/30	2014/7/30	2014/7/31	代销		启东市临海公路建设工程有限公司	地方国有企业	上海证券交易所	上市	私募债	江苏省	启东市
031490243.IB	14蓉城地铁PPN001	10	3	100	6.95	附息	固定利率	1年1次	2014/4/11	2014/4/14	2017/4/14	1.4959					AAA	长期信用评级	联合资信评估有限公司	2015/7/27			FALSE	工业	运输	交通基础设施	公路与铁路	2014/4/15			余额包销		成都地铁有限责任公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	四川省	成都市
031490247.IB	14镇城投PPN001	10	3	100	8.2	附息	固定利率	1年1次	2014/4/10	2014/4/14	2017/4/14	1.4959					AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/30			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/4/17			余额包销		镇江城市建设产业集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	江苏省	镇江市
1180076.IB	11镇投债	8	6	100	6.48	附息	固定利率	1年1次	2011/4/12	2011/4/12	2017/4/12	1.4904	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/29	AA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/29	中国投融资担保股份有限公司	不可撤销连带责任担保	FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2011/4/11	2011/5/5	2011/5/6	余额包销		宁波市镇海投资有限公司	地方国有企业	银行间债券市场	上市	一般企业债	浙江省	宁波市
1282100.IB	12杭城投MTN1	13	5	100	5.7	附息	固定利率	1年1次	2012/4/11	2012/4/12	2017/4/12	1.4904	AAA	长期信用评级	联合资信评估有限公司	2015/6/26	AAA	长期信用评级	联合资信评估有限公司	2015/6/26			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2012/4/1	2012/4/12	2012/4/13	余额包销		杭州市城市建设投资集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	浙江省	杭州市
101459010.IB	14皖高速MTN001(3年期)	4	3	100	6.09	附息	固定利率	1年1次	2014/4/9	2014/4/11	2017/4/11	1.4877	AAA	长期信用评级	大公国际资信评估有限公司	2015/7/29	AAA	长期信用评级	大公国际资信评估有限公司	2015/7/29			FALSE	工业	运输	交通基础设施	公路与铁路	2014/4/3	2014/4/11	2014/4/14	余额包销		安徽省交通控股集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	安徽省	合肥市
031490242.IB	14天富PPN002	5	3	100	7.8	附息	固定利率	1年1次	2014/4/10	2014/4/11	2017/4/11	1.4877					AA	长期信用评级	联合资信评估有限公司	2015/6/25			FALSE	公用事业	公用事业Ⅱ	复合型公用事业Ⅲ	复合型公用事业	2014/4/15			余额包销		新疆天富集团有限责任公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	新疆维吾尔自治区	石河子市
125261.SH	13金凤02	2	3	100	10.5	附息	累进利率	1年1次	2014/4/9	2014/4/9	2017/4/9	1.4822									重庆高新区开发投资集团有限公司	不可撤销连带责任担保	FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/5/20	2014/5/20	2014/5/21	代销		重庆金凤电子信息产业有限公司	地方国有企业	上海证券交易所	上市	私募债	重庆	重庆市
031490226.IB	14宿迁水务PPN002	5	3	100	8	附息	固定利率	1年1次	2014/4/3	2014/4/4	2017/4/4	1.4685					AA+	长期信用评级	鹏元资信评估有限公司	2015/6/30			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/4/8			余额包销		宿迁水务集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	江苏省	宿迁市
031490229.IB	14青岛城投PPN001	10	3	100	7.3	附息	固定利率	1年1次	2014/4/2	2014/4/3	2017/4/3	1.4658					AAA	长期信用评级	大公国际资信评估有限公司	2015/8/21			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/4/4			余额包销		青岛城市建设投资(集团)有限责任公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	山东省	青岛市
101464008.IB	14京城建MTN001	3	3	100	6.9	附息	固定利率	1年1次	2014/3/28	2014/3/31	2017/3/31	1.4575	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/28	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/28			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/3/21	2014/3/31	2014/4/1	余额包销		北京城建集团有限责任公司	地方国有企业	银行间债券市场	上市	一般中期票据	北京	北京市
031490203.IB	14泰达投资PPN003	10	3	100	7.55	附息	固定利率	1年1次	2014/3/28	2014/3/31	2017/3/31	1.4575					AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/5/7			余额包销		天津泰达投资控股有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	天津	天津市
031490207.IB	14粤珠江PPN001	4	3	100	8.2	附息	固定利率	1年1次	2014/3/28	2014/3/31	2017/3/31	1.4575					AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/10/16			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/3/31			余额包销		广州珠江实业集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	广东省	广州市
1080041.IB	10漯河城投债	10	7	100	6.81	附息	固定利率	1年1次	2010/3/30	2010/3/30	2017/3/30	1.4548	AA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26	AA	长期信用评级	鹏元资信评估有限公司	2015/7/30			TRUE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2010/3/29	2010/4/12	2010/4/13	余额包销		漯河市城市建设投资有限公司	地方国有企业	银行间债券市场	上市	一般企业债	河南省	漯河市
122910.SH	PR漯河债	10	7	100	6.81	附息	固定利率	1年1次	2010/3/30	2010/3/30	2017/3/30	1.4548	AA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26	AA	长期信用评级	鹏元资信评估有限公司	2015/7/30			TRUE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2010/3/29	2010/6/9	2010/6/10	余额包销		漯河市城市建设投资有限公司	地方国有企业	上海证券交易所	上市	一般企业债	河南省	漯河市
1180073.IB	11北部湾港债	15	6	100	6.01	附息	累进利率	1年1次	2011/3/30	2011/3/30	2017/3/30	1.4548	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/30	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/30			TRUE	工业	运输	交通基础设施	海港与服务	2011/3/29	2011/4/19	2011/4/20	余额包销		广西北部湾国际港务集团有限公司	地方国有企业	银行间债券市场	上市	一般企业债	广西壮族自治区	南宁市
122826.SH	11北港债	15	6	100	6.01	附息	累进利率	1年1次	2011/3/30	2011/3/30	2017/3/30	1.4548	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/30	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/30			TRUE	工业	运输	交通基础设施	海港与服务	2011/3/29	2011/5/11	2011/5/12	余额包销		广西北部湾国际港务集团有限公司	地方国有企业	上海证券交易所	上市	一般企业债	广西壮族自治区	南宁市
1282094.IB	12天津港MTN1	10	5	100	4.97	附息	固定利率	1年1次	2012/3/29	2012/3/30	2017/3/30	1.4548	AAA	长期信用评级	大公国际资信评估有限公司	2015/8/27	AAA	长期信用评级	大公国际资信评估有限公司	2015/8/27			FALSE	工业	运输	交通基础设施	海港与服务	2012/3/22	2012/3/30	2012/3/31	余额包销		天津港(集团)有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	天津	天津市
1282082.IB	12西基投MTN1	13	5	100	5.6	附息	固定利率	1年1次	2012/3/27	2012/3/28	2017/3/28	1.4493	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/29	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/29			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2012/3/22	2012/3/28	2012/3/29	余额包销		西安城市基础设施建设投资集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	陕西省	西安市
101459008.IB	14浙铁投MTN001	10	3	100	6.2	附息	固定利率	1年1次	2014/3/26	2014/3/28	2017/3/28	1.4493	AAA	长期信用评级	联合资信评估有限公司	2015/7/28	AAA	长期信用评级	联合资信评估有限公司	2015/7/28			FALSE	工业	运输	交通基础设施	公路与铁路	2014/3/19	2014/3/28	2014/3/31	余额包销		浙江省铁路投资集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	浙江省	杭州市
125256.SH	13启临海	1.5	3	100	10.5	附息	固定利率	1年1次	2014/3/28	2014/3/28	2017/3/28	1.4493									启东市城市建设投资开发总公司	不可撤销连带责任担保	FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/7/9	2014/7/9	2014/7/10	代销		启东市临海公路建设工程有限公司	地方国有企业	上海证券交易所	上市	私募债	江苏省	启东市
031447001.IB	14宁交通PPN001	10	3	100	7.4	附息	固定利率	1年1次	2014/3/27	2014/3/28	2017/3/28	1.4493					AAA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/30			FALSE	工业	运输	交通基础设施	公路与铁路	2014/3/31			余额包销		南京市交通建设投资控股(集团)有限责任公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	江苏省	南京市
031490193.IB	14皖投集PPN001	5	3	100	7.7	附息	固定利率	1年1次	2014/3/27	2014/3/28	2017/3/28	1.4493					AA	长期信用评级	大公国际资信评估有限公司	2015/7/23			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/3/31			余额包销		安徽省投资集团控股有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	安徽省	合肥市
031490204.IB	14渝长寿PPN002	5	3	100	8.5	附息	固定利率	1年1次	2014/3/27	2014/3/28	2017/3/28	1.4493					AA	长期信用评级	鹏元资信评估有限公司	2015/6/29			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/3/31			余额包销		重庆长寿经济技术开发区开发投资集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	重庆	重庆市
031219001.IB	12京保投PPN001	60	5	100	5.2	附息	固定利率	1年1次	2012/3/26	2012/3/27	2017/3/27	1.4466					AAA	长期信用评级	大公国际资信评估有限公司	2015/9/25			FALSE	金融	房地产	房地产投资信托	住宅房地产投资信托	2012/3/28			余额包销		北京市保障性住房建设投资中心	地方国有企业	等待银行间或交易所上市	待上市	定向工具	北京	北京市
031490180.IB	14绵阳科发PPN001	6	3	100	8.3	附息	固定利率	1年1次	2014/3/26	2014/3/27	2017/3/27	1.4466					AA	长期信用评级	联合资信评估有限公司	2015/7/16			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/3/31			余额包销		绵阳科技城发展投资(集团)有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	四川省	绵阳市
1282075.IB	12云工投MTN1	7	5	100	5.78	附息	固定利率	1年1次	2012/3/22	2012/3/26	2017/3/26	1.4438	AA+	长期信用评级	联合资信评估有限公司	2015/7/30	AA+	长期信用评级	联合资信评估有限公司	2015/7/30			FALSE	金融	多元金融	多元金融服务	多领域控股	2012/3/19	2012/3/26	2012/3/27	余额包销		云南省工业投资控股集团有限责任公司	地方国有企业	银行间债券市场	上市	一般中期票据	云南省	昆明市
1282077.IB	12深地铁MTN1	30	5	100	5.05	附息	固定利率	1年1次	2012/3/22	2012/3/26	2017/3/26	1.4438	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/9	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/9			FALSE	工业	运输	公路与铁路运输	铁路运输	2012/3/19	2012/3/26	2012/3/27	余额包销		深圳市地铁集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	广东省	深圳市
031490178.IB	14鄂联投PPN002	5	3	100	7.5	附息	固定利率	1年1次	2014/3/25	2014/3/26	2017/3/26	1.4438					AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/1			FALSE	工业	运输	交通基础设施	公路与铁路	2014/3/27			余额包销		湖北省联合发展投资集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	湖北省	武汉市
031490185.IB	14青投PPN001	10	3	100	8.4	附息	固定利率	1年1次	2014/3/25	2014/3/26	2017/3/26	1.4438					AA	长期信用评级	联合资信评估有限公司	2015/7/24			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/3/28			余额包销		青海省投资集团有限公司	地方国有企业	等待银行间或交易所上市	待上市	定向工具	青海省	西宁市
125255.SH	13盐交01	2.4	3	100	10	附息	累进利率	1年1次	2014/3/25	2014/3/25	2017/3/25	1.4411	AA	长期信用评级	联合信用评级有限公司	2014/6/9					盐城市盐都区国有资产投资经营有限公司	不可撤销连带责任担保	FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/6/9	2014/6/9	2014/6/10	余额包销		盐城市盐都交通建设发展有限公司	地方国有企业	上海证券交易所	上市	私募债	江苏省	盐城市
